hitid	hittypeid	packageName	permission	purpose	comfortScore
2C88H88MQU6LL48A8MSR4X4AZTBTA4	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.berobo.android.scanner	READ_PHONE_STATE	TARGETED_ADS	-0.125
2LTLYHVI44OSI0I94HEE6SBA6F83X2	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.berobo.android.scanner	ACCESS_FINE_LOCATION	TARGETED_ADS	0.3
2M998D8J3VE7C8P8J23GAMCKPKQHXN	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.berobo.android.scanner	READ_PHONE_STATE	INTERNAL	1.125
3MZ3TAMYTLN68OOD5N7JE4EEGLTRIZ	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bestcoolfungames.antsmasher	RECORD_AUDIO	TARGETED_ADS	-1.35
3WYZV0QBFJDGICWJ8CLUHZWPMCUXBS	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.bestcoolfungames.antsmasher	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.8
2NJ8N46UXFCDKLURAXEDZNTKZXZRTA	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.bigbluebubble.fatfree	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.1875
2PFMB3Q39Z0BMAQ32XVE2STV8UCUJC	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.bigbluebubble.fatfree	READ_PHONE_STATE	TARGETED_ADS	-0.1875
2UVP8PJWKUDDODJQZUU960B6B3JJ8K	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.bigbluebubble.fatfree	READ_PHONE_STATE	INTERNAL	0.8666666666666667
2CEAVKI62NJQIH4HVD0QO6BK166KS3	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.bighand.android	READ_PHONE_STATE	INTERNAL	0.2
2ZO2NJQ2172ZPPNW2FBLJVEBAVEPXH	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.bighand.android	RECORD_AUDIO	INTERNAL	1.6551724137931034
298V66RLPHITJXSB6ZBID2NJ7CY7FK	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.binomed.showtime	ACCESS_FINE_LOCATION	INTERNAL	0.6428571428571429
2QC8P9Y38TWWDY07Q29M7JTAXX2IZD	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.blue.fox.scannerradio	READ_PHONE_STATE	INTERNAL	0.8571428571428571
23OIAA2SEIUUAGX3MOBABIISP2XOOB	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.bobgame.chickenrun2	READ_PHONE_STATE	MOBILE_ANALYTICS	-0.25
2DNXH0JPPSI20EB4HWG7CKLMN6GNH9	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.bodyfitness.health.bnht	READ_PHONE_STATE	TARGETED_ADS	0.0
2BU26DG67D1XJBXUG43OR2JEIW4F8F	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.breakapps.breakdotcom	ACCESS_FINE_LOCATION	TARGETED_ADS	-0.3157894736842105
2A3B3L0FBJ9I4RGTFV5VL5RP7WMMYD	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.bruellaffe	READ_PHONE_STATE	INTERNAL	-0.5
207PSI2KYEPL854KGPD63J3ORRNSMZ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.buzztime.android.mobileplaymaker	ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	0.2
3KI0JD2ZU1IGXL9XU80OCKX9AZ676Q	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.c4mprod.ezcodescanner	CAMERA	GAME_ENGINE	0.8
32204AGAABCFN34FJUVMFOZSIG5HG4	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.catstudio.zuma1	RECORD_AUDIO	GAME_ENGINE	-0.3
3G4VVJO6PZGC26YMSYO6MPTCBOWPKK	3ISL4H6O6HKMSD7DGIM4AP7LHJKCID	com.cento.gates.main	ACCESS_FINE_LOCATION	SOCIAL_GAMING	-0.45
2CUNHMVHVKCJGHYZYBVJE9KQDGY35S	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	com.cipsoft.tibiame	READ_PHONE_STATE	INTERNAL	0.7368421052631579
2581SNQQ7Q67GLY5GGER82TQSVX9TC	2LBXKO2L92HESC7LT7POJCF0CVLFEJ	com.cisco.anyconnect.vpn.android.rooted	READ_PHONE_STATE	INTERNAL	0.125
