workerid	packageName	permission	purpose	label	READ_PHONE_STATE	ACCESS_FINE_LOCATION	GET_ACCOUNTS	CAMERA	READ_CONTACTS	RECORD_AUDIO	SEND_SMS	ACCESS_COARSE_LOCATION	BLUETOOTH	MANAGE_ACCOUNTS	AUTHENTICATE_ACCOUNTS	userID	appID	permissionID
A218YWVR9N1H58	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.589743589744	0.0398606811146
A12H2RTXSAQPRH	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	0	1.0	-0.142857142857	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.222222222222	-0.589743589744	0.0398606811146
A2OSXOVZ51O6E7	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	-0.589743589744	0.0398606811146
A3DA07L58SV6EH	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	1	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	-0.589743589744	0.0398606811146
A20PSVHEDXNJIH	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	-0.589743589744	0.0398606811146
A2551EKB87S2XY	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.589743589744	0.0398606811146
A1815O0GXEZUC	com.teachersparadise.groovyscratchdraw	ACCESS_FINE_LOCATION	TARGETED_ADS	0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.0	-0.589743589744	0.0398606811146
A2PNTNA248L5DW	com.teachersparadise.groovyscratchdraw	READ_PHONE_STATE	TARGETED_ADS	0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-0.589743589744	-0.0950006560819
A2O4Q2BDGWN73Q	com.teachersparadise.groovyscratchdraw	READ_PHONE_STATE	TARGETED_ADS	0	-1.0	0.0	0.0	1.0	0.0	1.0	0.0	-1.0	0.0	0.0	0.0	0.125	-0.589743589744	-0.0950006560819
A28CYFT2PBVI6S	com.teachersparadise.groovyscratchdraw	READ_PHONE_STATE	TARGETED_ADS	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.589743589744	-0.0950006560819
A25CQ3TJGQ7PTC	com.teachersparadise.groovyscratchdraw	READ_PHONE_STATE	TARGETED_ADS	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	-0.589743589744	-0.0950006560819
AOIT11QP5Z83X	com.teachersparadise.groovyscratchdraw	READ_PHONE_STATE	TARGETED_ADS	0	-0.333333333333	0.2	0.0	0.0	0.0	1.0	0.0	-1.0	0.0	0.0	0.0	-0.176470588235	-0.589743589744	-0.0950006560819
A2WGW5Y3ZFBDEC	com.teachersparadise.groovyscratchdraw	READ_PHONE_STATE	TARGETED_ADS	1	-0.615384615385	-0.176470588235	-1.0	1.0	-1.0	-0.666666666667	0.555555555556	0.0	1.0	0.75	0.333333333333	-0.224719101124	-0.589743589744	-0.0950006560819
A240ZZK5NVX3Z5	com.teachersparadise.groovyscratchdraw	READ_PHONE_STATE	TARGETED_ADS	0	-0.333333333333	0.333333333333	0.0	1.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.589743589744	-0.0950006560819
